"","id","name","terminalName","lastCommWithServer","lat","long","installed","locked","installDate","removalDate","temporary","public","nbBikes","nbEmptyDocks","latestUpdateTime","station"
"152","158","N Veitch  & 20th St N","31029","1425636218550","38.896923","-77.086502","true","false","0","","false","true","9","6","1425636218550","N Veitch  & 20th St N (31029)"
"153","159","11th & K St NW","31263","1425660939466","38.90268","-77.02674","true","false","0","","false","true","10","9","1425660939466","11th & K St NW (31263)"
"154","160","Fairfax Dr & Wilson Blvd","31023","1425636166567","38.885801","-77.097745","true","false","0","","false","true","7","4","1425636166567","Fairfax Dr & Wilson Blvd (31023)"
"155","161","Key Blvd & N Quinn St","31027","1425636075543","38.896015","-77.078107","true","false","0","","false","true","10","1","1425636075543","Key Blvd & N Quinn St (31027)"
"156","162","1st & K St SE","31628","1425664085299","38.87861","-77.006004","true","false","0","","false","true","2","12","1425664085299","1st & K St SE (31628)"
"157","163","39th & Calvert St NW / Stoddert","31306","1425636227225","38.922649","-77.077271","true","false","0","","false","true","8","10","1425636227225","39th & Calvert St NW / Stoddert (31306)"
"158","164","1st & Washington Hospital Center NW","31507","1425643026495","38.928743","-77.012457","true","false","0","","false","true","7","8","1425643026495","1st & Washington Hospital Center NW (31507)"
"159","165","Virginia Square Metro / N Monroe St & 9th St N","31024","1425636106143","38.882788","-77.103148","true","false","0","","false","true","4","13","1425636106143","Virginia Square Metro / N Monroe St & 9th St N (31024)"
"160","166","Central Library / N Quincy St & 10th St N","31025","1425636160434","38.88397","-77.10783","true","false","0","","false","true","5","6","1425636160434","Central Library / N Quincy St & 10th St N (31025)"
"161","167","Washington Blvd & 10th St N","31026","1425662975304","38.884734","-77.093485","true","false","0","","false","true","12","2","1425662975304","Washington Blvd & 10th St N (31026)"
"162","168","Jefferson Dr & 14th St SW","31247","1425661873535","38.888553","-77.032429","true","false","0","","false","true","11","12","1425661873535","Jefferson Dr & 14th St SW (31247)"
"163","169","Smithsonian / Jefferson Dr & 12th St SW","31248","1425636058425","38.888767","-77.02858","true","false","0","","false","true","9","11","1425636058425","Smithsonian / Jefferson Dr & 12th St SW (31248)"
"164","170","George Mason Dr & Wilson Blvd","31036","1425648350787","38.87887","-77.1207","true","false","0","","false","true","10","4","1425648350787","George Mason Dr & Wilson Blvd (31036)"
"165","171","6th St & Indiana Ave NW","31264","1425659503213","38.894573","-77.01994","true","false","0","","false","true","4","15","1425659503213","6th St & Indiana Ave NW (31264)"
"166","172","N Veitch & Key Blvd","31028","1425662399952","38.893241","-77.086045","true","false","0","","false","true","4","7","1425662399952","N Veitch & Key Blvd (31028)"
"167","173","N Adams St & Lee Hwy","31030","1425636062343","38.89593","-77.089006","true","false","0","","false","true","2","21","1425636062343","N Adams St & Lee Hwy (31030)"
"168","174","15th & N Scott St","31031","1425636237474","38.89054","-77.08095","true","false","0","","false","true","4","7","1425636237474","15th & N Scott St (31031)"
"169","175","Washington Blvd & 7th St N","31032","1425636136042","38.880834","-77.091129","true","false","0","","false","true","7","4","1425636136042","Washington Blvd & 7th St N (31032)"
"170","176","Ballston Metro / N Stuart & 9th St N","31037","1425649124375","38.881044","-77.111768","true","false","0","","false","true","8","11","1425649124375","Ballston Metro / N Stuart & 9th St N (31037)"
